value_type,circumstance,description,importance,comments
V200,Cuando me este 'aburriendo' leyendo un libro<> jugando un juego<> viendo una serie<> o consumiendo cualquier tipo de contenido por gusto ya despues de haber invertido tiempo suficiente para probarlo,Voy a tomar la decision consciente y por escrito de ya no invertir mas tiempo en eso que me esta aburriendo y tambien voy a decidir cual va a ser el siguiente contenido de ese tipo al que le de una oportunidad.,13,Minutos que considero tiempo 'suficiente' para probar contenido: Novela - 60 min  <>  Tesis - 300 min <> Videojuego - 120 min <> Pelicula - 20 min <> Series - 80 min
V400,Cuando algo de mi cuerpo me esta doliento/molestando,Voy a crear un item en 'KAS6' dentro de maximo 2 semanas para evaluar si continua la molestia<> si si<> hacer una cita con un medico,13,Dependiendo del sapo la pedrada<> si es muy fuerte la molestia hacer la cita a la brevedad posible
V400,Cuando me pese y este por encima de mi peso ideal,Hacer un plan de dieta accionable y ejecutarlo hasta que mi peso se encuentre 1kg por debajo de mi peso ideal maximo,13,
V500,Cuando un amigo me envie un mensaje por cualquier medio,Voy a contactarlo de vuelta a mas tardar en las proximas 24 horas,8,
V500,Cuando vea a una persona que me importa mucho y que llevo mas de una semana sin verla,Voy a darle un fuerte abrazo :),5,
V500,Cuando este en un evento social con gente que no conozco,Voy a buscar platicar<> al menos<> 10 minutos con un extrano para entender su perspectiva sobre alguna de las 'realidades fundamentales',8,
V500,Cuando alguien me da a escoger entre dos opciones o me pregunta que prefieres?,Le voy a responder con la opcion que mas me gustaria<> y si aplica<> tambien le voy a preguntar 'y tu que prefieres?,5,
V500,Cuando este escuchando a alguien y sienta que es una perdida de tiempo,Voy a cambiar el tema de conversacion o encontrar algun elemento del entorno que me permita abandonar la situacion y a la otra persona conservar su dignidad,13,Un buen ejemplo de lo que podria ser un elemento del entorno<> es mi celular ;)
V500,Cuando use una toallita humeda,Voy a cerrar el empaque despues de usarlo,1,target_person: Dani
V500,Cuando una persona que me importa me pida que haga algo que no me dan ganas de hacer y sea una solicitud razonable,Voy a hacerlo. salvo que exista una razon honesta y de peso en contra<> en este caso le explicare mi persona importante porque no voy a hacer lo que me pidio,8,
V500,Cuando este con alguien y no se me ocurra de que platicar,Recurrir a la lista en evernote: Opciones de conversacion,5,
V500,Cuando llegue a mi casa despues de haber estado en casa de mis papas,Le voy a enviar un mensaje a mama para avisarle que ya llegue (la va a hacer muy feliz y no me cuesta nada hacerlo :),5,
V700,Cuando vaya ir al super,Agarrar las bolsas re-utilizables,3,
V100,Cuando este sucediendo algo que me este estimulando de forma negativa,Voy a ver la situacion como una oportunidad de desarrollar mi paciencia. Idependientemente como me sienta<> voy a actuar de forma cool y serena y pensare en lo cool que es ser una persona que tiene la capacidad de mantener su cool y serenidad en todo momento.,13,
V100,Cuando una persona que conozco este haciendo algo que me este estimulando de forma negativa,Voy a pensar en las virtudes que conozco de esa persona y en veces que esa persona alla hecho cosas con buenas intensiones.,13,
V100,Cuando pienses en la gente billonaria y millonaria que existe y sientas que tal vez estas despediciando tu vida por no enfocarla a conseguir dinero y te sientas mal por no ser hiper rico,Piensa en toda la gente hiper porbre que existe y en que tan afortunado eres en terminos economicos de tener el estilo de vida que tienes :),13,
V600,Despues de escuchar un Adilibro de tesis,Escribir los puntos mas importantes en Evernote dentro de las siguientes 6 horas,8,
V600,Cuando este haciendo un commute que no requiera mucho de mi atencion,Comenzar a escuchar un Audiolibro,8,
V400,Despues de tomarme un cafe,Tomar la misma cantidad de agua natural dentro de la siguiente hora,8,Para wash it down